,path,label
0,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_4_vi_ngot/a34a1f5ced.jpg,47
1,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_4_vi_ngot/055ba4d4fa5.jpg,47
2,vinamilk/organic_gold/organic_gold_3/0013.jpg,56
3,nestle/lactogen_gold/lactogen_gold_3/0065.jpg,34
4,wakodo/bot_dan_dam_wakado/bot_an_dam_chao_gao_trang_wakodo_cho_be_5_thang/0141.jpg,66
5,nestle/bot_an_dam/bot_an_dam_nestle_cerelac/09301e4b63.jpg,33
6,vinamilk/dielac_grow_plus/dielac_grow_plus_red_1/070ec07939.jpg,54
7,royal_ausnz/lactoferrin/sua_royal_ausnz_lactoferrin_formula_milk_powder/a0a010d8982.jpg,45
8,nestle/nan_optipro/nan_optipro_1/0058.jpg,35
9,hipp/bot_an_dam/bot_an_dam_milk___cereal_5-grain_with_plum/hipp_new540.jpg,26
10,royal_ausnz/sua_royal_ausnz_premium_gold/sua_royal_ausnz_premium_gold_follow-on_so_2/a8b75034895 (copy).jpg,44
11,royal_ausnz/sua_de_hoang_gia_uc_royal_ausnz_goat/sua_de_hoang_gia_uc_royal_ausnz_goat_infant_formula_1/0014.jpg,43
12,hipp/bot_an_dam/bot_an_dam_milk___cereal_5-grain_with_plum/hipp_new383.jpg,26
13,hipp/bot_an_dam/bot_an_dam_4/6.jpg,26
14,vinamilk/optimum_gold/optimum_gold_4/0002.jpg,55
15,abbott/abbott_grow/abbott_grow_4/0015.jpg,9
16,nutifood/growplus/growplus_o/0015.jpg,38
17,bellamyorganic/bot_an_dam/bot_an_dam_bellamy/iojasdj123021.jpg,13
18,nestle/nutren/nutren_junior/011cb5fcb1.jpg,36
19,nestle/nutren/nutren_junior/f9832f2a755.jpg,36
20,nutifood/riso_opti_gold/riso_opti_gold_2/0010.jpg,40
21,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_gao_sua/72bfb3a71a2.jpg,46
22,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_ca_hoi_bong_cai_xanh/0025.jpg,48
23,hipp/organic_combiotic/organic_combiotic_follow-on_milk_2/osfgcv136.jpg,25
24,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_4_vi_man/0018.jpg,51
25,nutricare/care_100/care_100_gold/0020.jpg,72
26,mead_johnson/enfa_mil_grow_A+/enfa_grow_4_a+/a90f8cb2b4e3cceace8f727ab25ab1730e4aaade.jpg,27
27,abbott/similac_iq/similac_iq_4_hmo/8091c8da3a.jpg,3
28,vinamilk/dielac_grow_plus/dielac_grow_plus_red_1/6a5b92db34.jpg,54
29,vinamilk/dielac_grow_plus/dielac_grow_plus_blue_1/f4e98c77fd6.jpg,53
30,wakodo/bot_dan_dam_wakado/bot_an_dam_chao_gao_trang_wakodo_cho_be_5_thang/0321.jpg,66
31,nestle/bot_an_dam/bot_an_dam_nestle_cerelac/751fd1cea64.jpg,33
32,nutricare/meta_care/meta_care_4/3c0f7651d4.jpg,41
33,nutricare/smarta/smarta_grow/e967f97d33.jpg,42
34,abbott/similac_1/similac_newborn_iq/d46fd3b3e7.jpg,0
35,mead_johnson/neuro_pro/enfamil_neuro_pro_infant_formula/0019.jpg,30
36,vinamilk/yoko/yoko_gold_2/0045.jpg,57
37,hipp/organic_combiotic/organic_combiotic_infant_milk_1/0012.jpg,25
38,hipp/organic_combiotic/organic_combiotic_infant_milk_1/0004.jpg,25
39,glico/hop_giay/glico_icreo_so_0_hop_giay/64bdf3edc641e1c94a29c83be45021dbe748cb5f11.jpg,23
40,nestle/nan_optipro/nan_optipro_4/0039.jpg,35
41,mead_johnson/enspire/enfamil_enspire_infant_formula/9785eff782.jpg,28
42,mead_johnson/enspire/enfamil_enspire_infant_formula/0031.jpg,28
43,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_ga_rau_cu/5cc9676a12.jpg,49
44,vinamilk/dielac_grow_plus/dielac_grow_plus_red_3/0024.jpg,54
45,bellamyorganic/organic_fomula/bellamys_organic_infant_formula/0028.jpg,14
46,nutifood/famna/famna_step_1/ghjksd067.jpg,37
47,nutifood/growplus/growplus_xanh/0030.jpg,73
48,glico/hop_nhom/glico_icreo_so_0/0045.jpg,23
49,hipp/bot_an_dam/bot_an_dam_6/268.jpg,26
50,nutifood/nuti_gold_iq/nuti_iq_gold_4/0004.jpg,39
51,friesland_campina_dutch_lady/friso/frisolac_gold_2/0024.jpg,20
52,nutifood/riso_opti_gold/riso_opti_gold_1/4f0463723e.jpg,40
53,hipp/organic_combiotic/organic_combiotic_follow-on_milk_2/0026.jpg,25
54,abbott/abbott_grow/abbott_grow_2/0007.jpg,8
55,nutifood/famna/famna_step_1/ghjksd069.jpg,37
56,hipp/bot_an_dam/bot_an_dam_milk___cereal_5-grain_with_plum/hipp_new024.jpg,26
57,vinamilk/dielac_grow_plus/dielac_grow_plus_red_1/ee5a8e38a73.jpg,54
58,vinamilk/optimum_gold/optimum_gold_1/0041.jpg,55
59,nutifood/riso_opti_gold/riso_opti_gold_1/87a7e53107.jpg,40
60,abbott/similac_1/similac_newborn_iq/20a90b6b1a.jpg,0
61,mead_johnson/neuro_pro/enfa_grow_a_ii_neuro_pro/0022.jpg,30
62,glico/hop_giay/glico_icreo_so_0_hop_giay/344ce710d43.jpg,23
63,nutifood/growplus/growplus_o/0017.jpg,38
64,nutricare/care_100/care_100_gold/dd98f822542.jpg,72
65,nutricare/care_100/care_100_gold/23d293f302.jpg,72
66,nestle/nan_optipro/nan_optipro_3/0030.jpg,35
67,vinamilk/yoko/sua_uong_dinh_duong_yoko/0056.jpg,57
68,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_ga_rau_cu/72a19b80dd22.jpg,49
69,nestle/nan_optipro/nan_optipro_1/39bd754a334c980025607bd938b165c5cfab6b3713.jpg,35
70,nutricare/smarta/smarta_grow/0108.jpg,42
71,nutifood/nuti_gold_iq/nuti_gold_iq_1/c2014bd8404.jpg,39
72,glico/hop_giay/glico_icreo_so_0_hop_giay/e926842d1f2.jpg,23
73,vinamilk/bot_an_dam/bot_an_dam_ridielac_gold_ca_hoi_bong_cai_xanh/0027.jpg,48
74,wakodo/bot_dan_dam_wakado/bot_an_dam_wakodo_7/0019.jpg,65
75,hipp/bot_an_dam/bot_an_dam_6-36/45.jpg,26
76,"meiji/meiji_noi_dia/meiji_noi_dia_dang_thanh_so_3,9/14484568793.jpg",69
77,mead_johnson/enfa_mil_grow_A+/enfa_grow_3_a+/0070.jpg,27
78,nutifood/growplus/growplus_cam/343c1d62e0.jpg,74
79,danone/aptakid/aptakid_3_growing_up_milk_formula/84a7af93c79ccf6dbea5730afdb2c56c78256148.jpg,16
80,nutifood/nuti_gold_iq/nuti_gold_iq_1/1c3109fff63.jpg,39
81,wakodo/sua_wakado/sua_wakodo_mum/5276314bdb.jpg,64
82,vitadairy/sua_colosbaby_bio/sua_colosbaby_bio_0+/0e2130fb7c.jpg,59
83,meiji/meiji_noi_dia/meiji_noi_dia_xanh/136.jpg,71
84,mead_johnson/toddler/enfa_grow_premium_toddler_/0289.jpg,31
85,bellamyorganic/organic_fomula/bellamys_organic_followon_formula/0071asdasdjhqwe654654.jpg,14
86,nestle/nutren/nutren_junior/8603b0445a3.jpg,36
87,nestle/nan_optipro/nan_optipro_2/0020.jpg,35
88,meiji/meiji_noi_dia/meiji_noi_ia_hohoemi/11e7db0b7e3.jpg,68
89,vinamilk/dielac_alpha_gold_iq/dielac_alpha_gold_iq_2/0016.jpg,52
90,friesland_campina_dutch_lady/friso/friso_gold_4/0044.jpg,20
91,vitadairy/sua_colosbaby_bio/sua_colosbaby_bio_0+/0021.jpg,59
